biological_replicate	technical_replicate	condition	OD600	OD420	dt_min
1	A	aerobic200	0.576	0.012	12
1	B	aerobic200	0.46	0.016	12
1	C	aerobic200	1.284	0.004	10
1	D	aerobic200	0.596	0.021	12
2	A	aerobic200	0.107	0.008	15
2	B	aerobic200	0.131	0.035	15
2	C	aerobic200	0.102	0.002	15
2	D	aerobic200	0.096	0.044	15
3	A	aerobic200	1.212	0.168	15
3	B	aerobic200	0.864	0.222	15
3	C	aerobic200	0.864	0.442	14
3	D	aerobic200	0.668	0.194	15
3	E	aerobic200	0.74	0.09	15
4	A	aerobic200	0.86	0.025	14
4	B	aerobic200	1.076	0.027	12
4	C	aerobic200	1.28	0.244	16
4	D	aerobic200	1.3	0.104	13
5	A	aerobic200	0.376	0.019	15
5	B	aerobic200	0.48	0.066	12
5	C	aerobic200	0.328	0.019	15
5	D	aerobic200	0.388	0.03	10
6	A	aerobic200	0.492	0.07	10
6	B	aerobic200	0.476	0.001	12
6	C	aerobic200	0.572	0.027	11
6	D	aerobic200	0.5	0.084	14
7	A	aerobic200	0.432	0.058	15
7	B	aerobic200	0.164	0.038	15
7	C	aerobic200	0.5	0.036	15
7	D	aerobic200	0.436	0.064	15
1	A	anaerobic200	1.376	1.165	12
1	B	anaerobic200	1.204	0.814	12
1	C	anaerobic200	0.508	0.011	10
1	D	anaerobic200	1.18	0.817	12
2	A	anaerobic200	0.444	0.876	15
2	B	anaerobic200	0.491	0.963	15
2	C	anaerobic200	0.397	0.984	15
2	D	anaerobic200	0.552	1.132	15
3	A	anaerobic200	1.648	0.709	15
3	B	anaerobic200	1.556	1.07	15
3	C	anaerobic200	1.976	1.156	14
3	D	anaerobic200	1.32	1.02	15
3	E	anaerobic200	2.016	0.873	15
4	A	anaerobic200	1.776	2.1	14
4	B	anaerobic200	1.456	1.41	12
4	C	anaerobic200	1.448	0.554	16
4	D	anaerobic200	2.188	1.116	13
5	A	anaerobic200	1.408	0.951	15
5	B	anaerobic200	1.368	1.418	12
5	C	anaerobic200	1.36	0.604	15
5	D	anaerobic200	1.328	0.886	10
6	A	anaerobic200	1.664	1.036	10
6	B	anaerobic200	1.771	0.92	12
6	C	anaerobic200	1.548	1.504	11
6	D	anaerobic200	1.516	1.087	14
7	A	anaerobic200	1.392	0.949	15
7	B	anaerobic200	1.004	0.984	15
7	C	anaerobic200	1.408	0.963	15
7	D	anaerobic200	1.644	0.622	15
1	A	anaerobic500	2.716	0.147	12
1	B	anaerobic500	2.184	0.133	12
1	C	anaerobic500	2.22	0.011	10
1	D	anaerobic500	2.06	0.155	12
2	A	anaerobic500	0.884	0.19	15
2	B	anaerobic500	1.111	0.071	15
2	C	anaerobic500	0.871	0.099	15
2	D	anaerobic500	0.985	0.15	15
3	A	anaerobic500	2.904	0.17	15
3	B	anaerobic500	2.876	0.218	15
3	C	anaerobic500	3.1	0.214	14
3	D	anaerobic500	2.404	0.15	15
3	E	anaerobic500	1.816	0.169	15
4	A	anaerobic500	2.192	0.504	14
4	B	anaerobic500	2.62	0.566	12
4	C	anaerobic500	1.724	0.13	16
4	D	anaerobic500	3.076	0.2	13
5	A	anaerobic500	2.164	0.22	15
5	B	anaerobic500	2.172	0.37	12
5	C	anaerobic500	3.16	0.166	15
5	D	anaerobic500	2.924	0.226	10
6	A	anaerobic500	2.92	0.115	10
6	B	anaerobic500	2.42	0.079	12
6	C	anaerobic500	1.652	0.131	11
6	D	anaerobic500	2.452	0.117	14
7	A	anaerobic500	2.324	0.174	15
7	B	anaerobic500	2.468	0.471	15
7	C	anaerobic500	2.72	0.141	15
7	D	anaerobic500	2.784	0.107	15
1	A	anaerobic2000	2.572	0.023	12
1	B	anaerobic2000	2.656	0.065	12
1	C	anaerobic2000	2.624	0.005	10
1	D	anaerobic2000	2.32	0.455	12
2	A	anaerobic2000	0.836	0.117	15
2	B	anaerobic2000	1.717	0.015	15
2	C	anaerobic2000	0.957	0.027	15
2	D	anaerobic2000	1.127	0.039	15
3	A	anaerobic2000	3.296	0.042	15
3	B	anaerobic2000	4.592	0.54	15
3	C	anaerobic2000	3.928	0.51	14
3	D	anaerobic2000	2.66	0.085	15
3	E	anaerobic2000	3.224	0.037	15
4	A	anaerobic2000	3.652	0.074	14
4	B	anaerobic2000	3.124	0.067	12
4	C	anaerobic2000	3.208	0.24	16
4	D	anaerobic2000	3.48	0.112	13
5	A	anaerobic2000	2.724	0.046	15
5	B	anaerobic2000	2.952	0.072	12
5	C	anaerobic2000	2.9	0.037	15
5	D	anaerobic2000	2.708	0.014	10
6	A	anaerobic2000	3.804	0.059	10
6	B	anaerobic2000	6.892	0.097	12
6	C	anaerobic2000	1.832	0.049	11
6	D	anaerobic2000	2.832	0.058	14
7	A	anaerobic2000	2.64	0.034	15
7	B	anaerobic2000	2.512	0.69	15
7	C	anaerobic2000	2.68	0.028	15
7	D	anaerobic2000	2.82	0.021	15
